Code,Name, ALL AGES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
K02000001,UNITED KINGDOM,"62,261,967","795,183","784,662","788,579","756,521","733,493","718,660","708,978","684,854","666,296","667,589","683,286","703,095","715,508","734,822","730,217","736,376","757,762","773,912","807,742","835,965","840,024","845,465","873,595","870,920","879,945","886,385","861,189","837,634","823,114","841,458","832,566","795,138","756,663","743,743","763,276","782,348","797,997","837,352","879,685","904,358","895,505","920,612","926,549","946,377","943,009","948,256","935,895","918,465","892,807","870,677","834,998","818,109","805,914","775,152","746,928","726,607","727,085","712,952","704,673","707,020","724,812","744,316","794,583","829,656","670,232","650,066","632,948","603,828","541,619","503,210","517,582","511,820","498,577","480,023","459,749","436,892","410,060","396,677","385,689","372,437","348,683","321,437","292,554","275,632","254,329","228,051","204,268","181,904","167,073","153,256","476,059"
K03000001,GREAT BRITAIN,"60,462,575","769,981","758,987","762,878","732,231","710,110","695,575","686,172","662,694","644,080","645,280","660,316","679,139","691,213","709,790","705,515","712,136","733,033","748,876","782,950","811,646","815,520","820,337","847,296","844,138","853,028","859,441","834,894","811,785","798,540","817,026","807,507","771,232","733,890","721,320","740,241","759,450","774,317","812,661","854,855","878,806","870,112","894,901","900,446","920,246","916,976","921,729","909,642","893,034","867,832","845,926","811,186","795,031","782,999","753,174","725,420","706,376","707,193","693,238","685,814","688,066","705,783","725,542","775,682","810,568","652,847","632,893","615,712","587,211","526,690","489,695","504,242","498,479","485,888","467,424","448,054","425,866","399,426","386,609","376,029","363,172","340,115","313,487","285,306","268,579","248,103","222,788","199,699","177,951","163,641","150,307","466,560"
K04000001,ENGLAND AND WALES,"55,240,475","710,586","699,013","702,840","674,323","653,905","639,812","631,206","609,328","591,654","591,743","606,064","622,166","633,282","650,172","646,246","651,963","670,982","684,882","715,678","741,485","746,006","749,406","773,294","770,685","779,644","785,481","765,329","743,221","730,095","746,938","738,775","706,570","674,494","663,846","679,463","698,163","712,146","746,330","784,236","804,156","795,812","817,824","821,789","840,039","837,523","840,056","827,945","812,194","788,257","767,762","734,894","719,668","709,418","681,596","655,991","639,429","641,066","628,422","623,302","624,513","641,628","659,562","707,893","737,122","596,728","579,258","561,270","534,435","478,125","444,342","457,736","453,211","441,755","425,350","406,949","386,723","362,898","352,011","342,050","331,325","310,798","286,414","261,586","246,528","227,328","204,668","183,426","164,362","151,311","139,202","431,373"
E92000001,ENGLAND,"52,234,045","675,360","663,989","667,185","640,232","620,326","606,770","598,725","577,767","560,460","558,824","572,712","587,706","597,920","613,424","609,688","615,226","633,009","646,046","674,654","697,422","701,690","705,258","730,072","729,378","739,341","745,641","727,936","707,623","696,397","712,097","703,550","674,440","644,550","633,711","648,810","665,766","678,598","710,579","745,694","764,033","756,044","776,644","780,678","797,541","794,849","796,136","783,750","768,945","745,580","726,240","695,073","680,343","670,247","643,226","619,084","602,970","603,470","591,124","586,280","586,722","602,407","619,459","664,746","692,979","560,580","543,944","526,604","500,818","447,386","415,883","429,519","425,616","415,141","399,582","382,460","363,194","340,887","330,876","321,662","311,741","292,548","269,462","246,295","231,534","213,331","192,056","172,311","154,470","141,943","131,117","405,939"
W92000004,WALES,"3,006,430","35,226","35,024","35,655","34,091","33,579","33,042","32,481","31,561","31,194","32,919","33,352","34,460","35,362","36,748","36,558","36,737","37,973","38,836","41,024","44,063","44,316","44,148","43,222","41,307","40,303","39,840","37,393","35,598","33,698","34,841","35,225","32,130","29,944","30,135","30,653","32,397","33,548","35,751","38,542","40,123","39,768","41,180","41,111","42,498","42,674","43,920","44,195","43,249","42,677","41,522","39,821","39,325","39,171","38,370","36,907","36,459","37,596","37,298","37,022","37,791","39,221","40,103","43,147","44,143","36,148","35,314","34,666","33,617","30,739","28,459","28,217","27,595","26,614","25,768","24,489","23,529","22,011","21,135","20,388","19,584","18,250","16,952","15,291","14,994","13,997","12,612","11,115","9,892","9,368","8,085","25,434"
S92000003,SCOTLAND,"5,222,100","59,395","59,974","60,038","57,908","56,205","55,763","54,966","53,366","52,426","53,537","54,252","56,973","57,931","59,618","59,269","60,173","62,051","63,994","67,272","70,161","69,514","70,931","74,002","73,453","73,384","73,960","69,565","68,564","68,445","70,088","68,732","64,662","59,396","57,474","60,778","61,287","62,171","66,331","70,619","74,650","74,300","77,077","78,657","80,207","79,453","81,673","81,697","80,840","79,575","78,164","76,292","75,363","73,581","71,578","69,429","66,947","66,127","64,816","62,512","63,553","64,155","65,980","67,789","73,446","56,119","53,635","54,442","52,776","48,565","45,353","46,506","45,268","44,133","42,074","41,105","39,143","36,528","34,598","33,979","31,847","29,317","27,073","23,720","22,051","20,775","18,120","16,273","13,589","12,330","11,105","35,187"
N92000002,NORTHERN IRELAND,"1,799,392","25,202","25,675","25,701","24,290","23,383","23,085","22,806","22,160","22,216","22,309","22,970","23,956","24,295","25,032","24,702","24,240","24,729","25,036","24,792","24,319","24,504","25,128","26,299","26,782","26,917","26,944","26,295","25,849","24,574","24,432","25,059","23,906","22,773","22,423","23,035","22,898","23,680","24,691","24,830","25,552","25,393","25,711","26,103","26,131","26,033","26,527","26,253","25,431","24,975","24,751","23,812","23,078","22,915","21,978","21,508","20,231","19,892","19,714","18,859","18,954","19,029","18,774","18,901","19,088","17,385","17,173","17,236","16,617","14,929","13,515","13,340","13,341","12,689","12,599","11,695","11,026","10,634","10,068","9,660","9,265","8,568","7,950","7,248","7,053","6,226","5,263","4,569","3,953","3,432","2,949","9,499"
E12000001,NORTH EAST,"2,606,625","30,306","29,695","30,443","29,204","29,034","28,075","27,917","26,914","26,007","26,299","27,531","27,970","28,855","29,806","29,733","30,207","31,563","32,459","35,243","39,943","40,670","40,578","39,980","38,920","38,739","37,831","35,839","34,811","32,947","33,177","32,802","30,791","27,415","26,433","27,764","28,496","29,284","31,378","34,117","35,654","34,858","35,926","36,678","37,963","38,806","39,361","39,253","39,245","38,874","37,392","36,343","36,278","36,451","35,061","33,602","32,690","32,834","32,105","31,584","31,532","32,348","32,807","35,256","36,450","29,142","28,072","26,537","24,616","22,986","22,107","22,988","23,321","23,045","21,775","20,785","19,723","18,809","18,159","17,333","16,969","15,465","14,142","12,553","11,968","11,066","9,881","8,459","7,490","6,830","5,922","17,955"
E12000002,NORTH WEST,"6,935,736","87,699","86,838","87,487","83,928","82,444","80,680","78,923","75,820","74,288","74,372","76,316","78,816","80,110","83,982","82,619","83,719","86,908","89,478","94,581","98,377","99,446","100,268","102,310","100,888","101,054","100,631","95,983","91,397","87,669","87,227","85,926","80,075","74,935","73,694","77,029","80,176","82,720","88,285","95,304","98,284","97,745","100,558","101,178","103,587","103,225","105,492","104,209","103,283","101,187","98,130","94,432","91,888","90,930","87,527","84,390","81,864","82,180","81,713","80,344","80,842","82,877","85,677","92,083","94,930","75,324","72,220","70,692","68,071","61,920","58,991","59,961","59,247","57,748","55,434","53,173","50,173","46,514","44,740","43,649","41,615","39,196","35,950","32,507","30,607","27,762","24,419","22,053","19,407","17,977","16,456","48,973"
E12000003,YORKSHIRE AND THE HUMBER,"5,301,252","66,292","65,558","65,572","63,091","61,444","60,274","59,515","56,956","55,846","55,143","56,836","58,853","60,224","61,977","62,656","62,432","65,128","66,690","71,287","82,273","86,096","85,476","85,576","83,154","81,986","80,775","77,922","75,530","73,102","72,841","70,324","64,476","59,117","57,698","59,648","61,213","63,299","67,171","72,082","74,959","74,297","76,343","76,198","77,304","77,460","77,897","77,586","76,665","74,946","73,187","70,469","68,684","68,556","66,062","63,429","60,995","61,460","60,069","59,675","60,499","61,897","63,505","68,015","71,180","56,718","55,371","52,842","50,098","45,111","42,360","44,047","43,707","43,057","41,477","39,708","37,435","35,302","33,706","32,118","30,967","29,059","26,715","24,462","23,204","21,106","18,745","16,624","14,926","13,838","12,626","39,053"
